1,
2,`Ulama' al-shari`ah wa-`alaqatuhum bi-al-siyasah al-`Izz ibn `Abd al-Salam namudhajan (660H) / Bara Barakat Hamad al-Gharibeh.- Details in Pendeta Discovery
3,'Abd al-Karim al-Qusyayri dan sumbangannya dalam tafsir simbolik : analisis karya Lata'if al-isyarat / Abdurrahim Yapono.- Details in Pendeta Discovery
4,Abdul Karim Jamak dan pemikirannya tentang konsep ketuhanan / Ahmad Zuhdi.- Details in Pendeta Discovery
5,Abu Bakr ibn Mujahid dan sumbangannya terhadap perkembangan ilmu qira'at berasaskan Kitab al-Sab'ah / Ikmal Zaidi bin Hashim.- Details in Pendeta Discovery
6,Adab al-riyadah wa al-istislah dalam pembangunan modal insan menurut al-Mawardi dalam Karya adab al-dunya wa al-din / Siti Sarah binti Haji Ahmad ; Diselia oleh Prof. Madya Dr. Che Zarrina Sa'ari.- Details in Pendeta Discovery
7,Adat Melayu sebagai sumber hukum : penilaian dari perspektif teori Al-'Urf Wa Al-'Adah / Noor Haslina Binti Osman.- Details in Pendeta Discovery
8,|Adat menyambut kelahiran bayi dalam masyarakat Islam di jajahan Tanah Merah, Kelantan / Mohd Zawawi Bin Mohamad.- Details in Pendeta Discovery|
9,Adat perkahwinan masyarakat Muslim Aceh Selatan : analisis menurut perspektif Sunnah / Siti Nurkhafifah binti Marisa ; diselia oleh Dr. Faisal Ahmad Shah.- Details in Pendeta Discovery
10,Adat perpatih dan hukum syarak di Negeri Sembilan : analisis perbandingan berkaitan institusi kekeluargaan dan pewarisan / Zulkarnani Umar.- Details in Pendeta Discovery
11,Adat perpatih dan perundangan Islam di Negeri Sembilan : analisis perbandingan berkaitan institusi kekeluargaan dan pewarisan / Zulkarnaini Umar.- Details in Pendeta Discovery
12,Adat-adat masyarakat Melayu Brunei daerah Membakut Sabah : kajian menurut perspektif Islam / Siti Fauziah Mohd. Amin.- Details in Pendeta Discovery
13,|Adat-istiadat masyarakat Jawa dari perspektif Islam : suatu kajian di Daerah Batu Pahat, Johor / Nazmah binti Mustapha.- Details in Pendeta Discovery|
14,Af'al Allah menurut al-Jurjani (m.816H./1413M.) : kajian dan terjemahan teks terpilih dari Syarh al-mawaqif / Mohd Hamidi Ismail.- Details in Pendeta Discovery
15,The Afghanistan conflict (1978-2002) : an analytical study with an Islamic dimension / Mohammad Azeem s/o Mulla Ahmad.- Details in Pendeta Discovery
16,Agama dan peranannya dalam pembangunan peradaban : satu kajian tentang pemikiran Malik Bennabi (1905-1973) / Usman Syihab.- Details in Pendeta Discovery
17,Ahadith al-tadawi fi al-kutub al-tis`ah fi daw' al-tibb al-hadith : dirasah tatbiqiyah fi markaz al-Madinah al-Munawwarah lil-tibb al-nabawi / Abdulrahman Khosaif Algarni- Details in Pendeta Discovery
18,ahifat Jabir ibn `Abd Allah riwayat al-San`aniyin : dirasah wa-naqd / `Abd Allah ibn Rashid al-Shabrami.- Details in Pendeta Discovery
19,Ahkam al-mawarith bayna al-syari'ah al-Islamiyyah wa qanun al-irth li ghayar al-Muhammadiyyin al-Lubnani : Dirasah Muqaranah / Nadjib Soltani.- Details in Pendeta Discovery
20,Ahkam al-rahn fi al-madhhab al-Maliki : dirasah tahliliyah fi daw' qanun al-ta'minat li-Munazzamat (O.H.A.D.A.) li-sannah 2010 M al-mutabbaq fi al-Nayjar / Mukhtar Musa Jibril.- Details in Pendeta Discovery
21,Ajaran aliran kebatinan di Indonesia dan hubungannya dengan ajaran tasawuf / Zubaidi Wahyono.- Details in Pendeta Discovery
22,Ajaran dan amalan Tarekat Shiddiqiyyah di Jawa Timur / Nur Hadi Ihsan.- Details in Pendeta Discovery
